t,speed,mph,steer,throttle,longG,latG,yaw,expectYaw,understeer,oversteer,jolt,angVelX,angVelZ,vy,fireRaw,fxActive,fxFired,center,corner,oversteer,brake,texture,scrub,judder,impact,weapon,force
1.228,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
1.245,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.262,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
1.287,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.303,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
1.320,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
1.337,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.365,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
1.382,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.399,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
1.416,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.442,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
1.459,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.475,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.492,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
1.515,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.544,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
1.561,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.590,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
1.612,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
1.629,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
1.645,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.661,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
1.683,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
1.716,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
